datatime,external_event
2020-04-02 21:11:02,B
2020-04-02 21:11:03,B
2020-04-02 21:11:04,B
2020-04-02 21:11:05,B
2020-04-02 21:11:06,B
2020-04-02 21:11:07,B
2020-04-02 21:11:08,B
2020-04-02 21:11:09,B
2020-04-02 21:11:10,B
2020-04-02 21:11:11,B
2020-04-02 21:11:12,B
2020-04-02 21:11:13,B
2020-04-02 21:11:14,B
2020-04-02 21:11:15,B
2020-04-02 21:11:16,B
2020-03-21 21:40:42,B
2020-03-21 21:40:43,B
2020-03-21 21:40:44,B
2020-03-21 21:40:45,B
2020-03-21 21:40:46,B
2020-03-21 21:40:47,B
2020-03-21 21:40:48,B
2020-03-21 21:40:49,B
2020-03-21 21:40:50,B
2020-03-21 21:40:51,B
2020-03-21 21:40:52,B
2020-03-21 21:40:53,B
2020-03-21 21:40:54,B
2020-03-21 21:40:55,B
2020-03-21 21:40:56,B
2020-03-21 21:40:57,B
2020-03-29 19:32:38,B
2020-03-29 19:32:39,B
2020-03-29 19:32:40,B
2020-03-29 19:32:41,B
2020-03-29 19:32:42,B
2020-03-29 19:32:43,B
2020-03-29 19:32:44,B
2020-03-29 19:32:45,B
2020-03-29 19:32:46,B
2020-03-29 19:32:47,B
2020-03-29 19:32:48,B
2020-03-29 19:32:49,B
2020-03-29 19:32:50,B
2020-03-29 19:32:51,B
2020-03-29 19:32:52,B
2020-03-29 19:32:53,B
2020-03-31 21:32:52,B
2020-03-31 21:32:53,B
2020-03-31 21:32:54,B
2020-03-31 21:32:55,B
2020-03-31 21:32:56,B
2020-03-31 21:32:57,B
2020-03-31 21:32:58,B
2020-03-31 21:32:59,B
2020-03-31 21:33:00,B
2020-03-31 21:33:01,B
2020-03-31 21:33:02,B
2020-03-31 21:33:03,B
2020-03-31 21:33:04,B
2020-03-31 21:33:05,B
2020-03-31 21:33:06,B
2020-03-31 21:33:07,B
2020-03-24 19:45:52,B
